,La,Li,E(ISIF0)
27,3,0,-735.73484301
26,2,0,-735.70115867
53,2,0,-735.63824497
28,4,0,-735.71467227
29,2,0,-735.6933617
30,2,0,-735.67877848
32,2,0,-735.73485172
33,2,0,-735.67143937
34,4,0,-735.73629586
35,2,0,-735.74730079
36,2,0,-735.70470936
38,3,0,-735.7442327
39,2,0,-735.70226681
40,4,0,-735.85184814
41,3,0,-735.73192758
44,3,0,-735.71316398
46,4,0,-735.88080969
47,3,0,-735.72552847
50,2,0,-735.62138546
52,4,0,-735.70999529
25,1,0,-735.68129059
24,3,0,-735.72746607
54,2,0,-735.62853413
22,4,0,-735.64792246
3,2,0,-735.70721261
5,4,0,-735.9091602
6,2,0,-735.72271201
23,2,0,-735.66427371
11,4,0,-735.65212116
12,2,0,-735.71543198
15,2,0,-735.61086379
9,2,0,-735.71120986
16,4,0,-735.7419443
20,2,0,-735.65528286
14,2,1,-735.67910024
51,2,1,-735.66070776
21,2,1,-735.66685005
48,2,1,-735.65313055
4,2,1,-735.69582912
45,3,1,-735.75338231
19,1,1,-735.70730618
31,0,1,-735.55593394
1,2,1,-735.70514985
7,2,1,-735.77506771
8,0,1,-735.59585194
18,2,1,-735.66339314
10,2,1,-735.75215468
37,1,1,-735.71224296
17,2,1,-735.67269982
42,3,1,-735.75155769
49,0,2,-735.63911143
13,0,2,-735.66269384
2,0,2,-735.61158557
43,1,2,-735.76462937
